rai_cityadjusted_total_2019_q3, geography_name, unique_id, rai_cityadjusted_total_2019_q2, rai_cityadjusted_total_2019_q1, rai_cityadjusted_total_2020_q1, rai_cityadjusted_total_2019_q4, rai_cityadjusted_total_2020_q3, state, rai_cityadjusted_total_2020_q2, rai_cityadjusted_total_2021_q2, rai_cityadjusted_total_2020_q4, rai_cityadjusted_total_2021_q1, city
null,"4381",639,null,null,null,null,null,"QLD",null,null,null,null,"Rest of Qld"
null,"4382",640,null,null,null,null,null,"QLD",null,null,null,null,"Rest of Qld"
null,"4385",641,null,null,null,null,null,"QLD",null,null,null,null,"Rest of Qld"
null,"4387",642,null,null,null,null,null,"QLD",null,null,null,null,"Rest of Qld"
null,"4388",643,null,null,null,null,null,"QLD",null,null,null,null,"Rest of Qld"
null,"4402",647,null,null,null,null,null,"QLD",null,null,null,null,"Rest of Qld"
null,"4416",659,null,null,null,null,null,"QLD",null,null,null,null,"Rest of Qld"
null,"4417",660,null,null,null,null,null,"QLD",null,null,null,null,"Rest of Qld"
null,"4419",661,null,null,null,null,223.927,"QLD",null,null,null,186.0105,"Rest of Qld"
null,"4420",662,null,null,null,null,null,"QLD",null,null,null,null,"Rest of Qld"
null,"4421",663,null,217.8937,null,null,null,"QLD",null,null,null,null,"Rest of Qld"
null,"4403",648,null,null,null,null,null,"QLD",null,null,null,null,"Rest of Qld"
null,"4404",649,null,null,null,null,null,"QLD",null,null,null,null,"Rest of Qld"
179.6407,"4405",650,183.8276,175.8344,183.3388,179.7618,172.9507,"QLD",179.4124,169.9855,175.934,170.0252,"Rest of Qld"
null,"4406",651,null,null,null,null,null,"QLD",null,null,null,null,"Rest of Qld"
null,"4407",652,null,null,null,null,null,"QLD",null,null,null,null,"Rest of Qld"
null,"4408",653,null,null,null,null,null,"QLD",null,null,null,null,"Rest of Qld"
null,"4410",654,null,null,null,null,null,"QLD",null,null,null,null,"Rest of Qld"
132.1055,"4514",702,131.1728,137.4396,125.7652,136.9046,142.9895,"QLD",138.9246,143.5661,null,134.7485,"Greater Brisbane"
null,"4515",703,null,null,null,null,null,"QLD",null,null,null,null,"Greater Brisbane"
null,"4516",704,null,null,null,null,null,"QLD",null,88.25452,null,null,"Greater Brisbane"
